index,img,input
29,../../Data_Processing/Scenario5/resources/masks\1.jpg,"[0.9322916666666666, 0.16666666666666666, 0.07916666666666666, 0.06296296296296296, 0.07945239218839072, 0.866883116808715]"
11,../../Data_Processing/Scenario5/resources/masks\2.jpg,"[0.37395833333333334, 0.21851851851851853, 0.16875, 0.0962962962962963, 0.4723835717633183, 0.03896103879525764]"
2,../../Data_Processing/Scenario5/resources/masks\3.jpg,"[0.041666666666666664, 0.15648148148148147, 0.07916666666666666, 0.09814814814814815, 0.8358408078611796, 0.7954545454790132]"
28,../../Data_Processing/Scenario5/resources/masks\4.jpg,"[0.9354166666666667, 0.2101851851851852, 0.12916666666666668, 0.09074074074074075, 0.10553970566708082, 0.09848484846737154]"
9,../../Data_Processing/Scenario5/resources/masks\5.jpg,"[0.2786458333333333, 0.1685185185185185, 0.09479166666666666, 0.07037037037037037, 0.7261960961350191, 0.8344155842742709]"
3,../../Data_Processing/Scenario5/resources/masks\6.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.9234211120398396, 0.83658008646374]"
26,../../Data_Processing/Scenario5/resources/masks\7.jpg,"[0.8375, 0.2111111111111111, 0.16458333333333333, 0.09259259259259259, 0.1627224400174133, 0.13311688303748784]"
6,../../Data_Processing/Scenario5/resources/masks\8.jpg,"[0.2203125, 0.21296296296296297, 0.16145833333333334, 0.1037037037037037, 0.5500913363798815, 0.06493506506888841]"
6,../../Data_Processing/Scenario5/resources/masks\9.jpg,"[0.1828125, 0.21944444444444444, 0.178125, 0.09814814814814815, 0.5680507378683024, 0.04437229434582928]"
17,../../Data_Processing/Scenario5/resources/masks\10.jpg,"[0.5338541666666666, 0.16666666666666666, 0.11145833333333334, 0.07037037037037037, 0.49871718561109507, 0.8679653678265511]"
6,../../Data_Processing/Scenario5/resources/masks\11.jpg,"[0.21041666666666667, 0.21481481481481482, 0.175, 0.1037037037037037, 0.5736540711447068, 0.08008658008757877]"
12,../../Data_Processing/Scenario5/resources/masks\12.jpg,"[0.42083333333333334, 0.21203703703703702, 0.15625, 0.09074074074074075, 0.457420824694963, 0.08441558446651723]"
6,../../Data_Processing/Scenario5/resources/masks\13.jpg,"[0.1953125, 0.21388888888888888, 0.17395833333333333, 0.09814814814814815, 0.547648857779323, 0.11255411262202297]"
30,../../Data_Processing/Scenario5/resources/masks\14.jpg,"[0.9552083333333333, 0.20462962962962963, 0.08958333333333333, 0.09074074074074075, 0.07389010899051528, 0.05952380951831677]"
17,../../Data_Processing/Scenario5/resources/masks\15.jpg,"[0.5505208333333333, 0.21203703703703702, 0.15520833333333334, 0.09074074074074075, 0.4164118141972788, 0.1266233767766744]"
25,../../Data_Processing/Scenario5/resources/masks\16.jpg,"[0.8083333333333333, 0.21203703703703702, 0.1625, 0.09074074074074075, 0.21144886189508358, 0.11038961027875661]"
8,../../Data_Processing/Scenario5/resources/masks\17.jpg,"[0.25, 0.19166666666666668, 0.125, 0.08333333333333333, 0.5923318486938313, 0.11255411262202297]"
26,../../Data_Processing/Scenario5/resources/masks\18.jpg,"[0.853125, 0.16944444444444445, 0.11875, 0.06851851851851852, 0.16643747049818242, 0.8225108224628858]"
25,../../Data_Processing/Scenario5/resources/masks\19.jpg,"[0.8088541666666667, 0.2111111111111111, 0.165625, 0.09259259259259259, 0.19338683524679998, 0.08766233767382252]"
30,../../Data_Processing/Scenario5/resources/masks\20.jpg,"[0.9380208333333333, 0.16296296296296298, 0.09895833333333333, 0.06296296296296296, 0.0762094374138224, 0.9025974025504645]"
12,../../Data_Processing/Scenario5/resources/masks\21.jpg,"[0.42083333333333334, 0.21296296296296297, 0.15833333333333333, 0.09259259259259259, 0.4448595061632211, 0.08441558446651723]"
19,../../Data_Processing/Scenario5/resources/masks\22.jpg,"[0.5796875, 0.1675925925925926, 0.128125, 0.07962962962962963, 0.3854395435174717, 0.8430735930321478]"
30,../../Data_Processing/Scenario5/resources/masks\23.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.027811416018545046, 0.8614718612581433]"
22,../../Data_Processing/Scenario5/resources/masks\24.jpg,"[0.6723958333333333, 0.21388888888888888, 0.165625, 0.09814814814814815, 0.27727263397666335, 0.0790043289159456]"
19,../../Data_Processing/Scenario5/resources/masks\25.jpg,"[0.6130208333333333, 0.21574074074074073, 0.159375, 0.09814814814814815, 0.3113647092683713, 0.07792207789810954]"
15,../../Data_Processing/Scenario5/resources/masks\26.jpg,"[0.4630208333333333, 0.17037037037037037, 0.11979166666666667, 0.07407407407407407, 0.4751544508462697, 0.7997835497041546]"
16,../../Data_Processing/Scenario5/resources/masks\27.jpg,"[0.5270833333333333, 0.21388888888888888, 0.15625, 0.09444444444444444, 0.371564623056158, 0.08549783563815042]"
4,../../Data_Processing/Scenario5/resources/masks\28.jpg,"[0.20625, 0.18518518518518517, 0.12708333333333333, 0.07407407407407407, 0.7022844358704122, 0.10497835503577924]"
