index,img,input
28,../../Data_Processing/Scenario3/resources/masks\1265.jpg,"[0.901563,0.344444,0.196875,0.111111,0.897896,0.626897]"
12,../../Data_Processing/Scenario3/resources/masks\794.jpg,"[0.386458,0.325926,0.191667,0.118519,0.705712,0.664050]"
30,../../Data_Processing/Scenario3/resources/masks\240.jpg,"[0.927083,0.34537,0.145833,0.124074,0.868346,0.655678]"
26,../../Data_Processing/Scenario3/resources/masks\302.jpg,"[0.826562,0.258333,0.130208,0.075926,0.677880,0.235479]"
21,../../Data_Processing/Scenario3/resources/masks\546.jpg,"[0.660417,0.375,0.227083,0.15,0.764524,0.805338]"
12,../../Data_Processing/Scenario3/resources/masks\729.jpg,"[0.436458,0.234259,0.110417,0.068519,0.316129,0.011512]"
24,../../Data_Processing/Scenario3/resources/masks\1208.jpg,"[0.774479,0.316667,0.182292,0.114815,0.753441,0.595500]"
9,../../Data_Processing/Scenario3/resources/masks\732.jpg,"[0.31875,0.231481,0.1125,0.066667,0.223267,0.008896]"
26,../../Data_Processing/Scenario3/resources/masks\1162.jpg,"[0.848958,0.258333,0.129167,0.07963,0.949163,0.118786]"
9,../../Data_Processing/Scenario3/resources/masks\963.jpg,"[0.292708,0.35463,0.227083,0.138889,0.557698,0.777080]"
10,../../Data_Processing/Scenario3/resources/masks\574.jpg,"[0.364583,0.246296,0.125,0.077778,0.362058,0.213501]"
11,../../Data_Processing/Scenario3/resources/masks\164.jpg,"[0.366667,0.247222,0.120833,0.075926,0.355023,0.244898]"
20,../../Data_Processing/Scenario3/resources/masks\620.jpg,"[0.646875,0.25463,0.122917,0.072222,0.548803,0.209314]"
20,../../Data_Processing/Scenario3/resources/masks\859.jpg,"[0.644792,0.25463,0.120833,0.075926,0.529457,0.204082]"
13,../../Data_Processing/Scenario3/resources/masks\249.jpg,"[0.426563,0.440741,0.292708,0.188889,0.699597,0.958660]"
15,../../Data_Processing/Scenario3/resources/masks\224.jpg,"[0.486458,0.35,0.210417,0.12963,0.645038,0.731554]"
29,../../Data_Processing/Scenario3/resources/masks\1003.jpg,"[0.939583,0.257407,0.116667,0.081481,0.795362,0.166928]"
26,../../Data_Processing/Scenario3/resources/masks\1059.jpg,"[0.842708,0.249074,0.120833,0.075926,0.693299,0.125065]"
7,../../Data_Processing/Scenario3/resources/masks\523.jpg,"[0.272396,0.244444,0.128125,0.077778,0.301241,0.187336]"
17,../../Data_Processing/Scenario3/resources/masks\1173.jpg,"[0.567708,0.251852,0.11875,0.077778,0.530194,0.176871]"
6,../../Data_Processing/Scenario3/resources/masks\1188.jpg,"[0.199479,0.244444,0.128125,0.077778,0.250813,0.188906]"
14,../../Data_Processing/Scenario3/resources/masks\1178.jpg,"[0.453646,0.247222,0.119792,0.072222,0.435206,0.180010]"
24,../../Data_Processing/Scenario3/resources/masks\1121.jpg,"[0.717708,0.259259,0.122917,0.077778,0.632727,0.190476]"
20,../../Data_Processing/Scenario3/resources/masks\153.jpg,"[0.620833,0.256481,0.120833,0.075926,0.547412,0.245421]"
13,../../Data_Processing/Scenario3/resources/masks\1133.jpg,"[0.442708,0.249074,0.116667,0.075926,0.409971,0.200942]"
14,../../Data_Processing/Scenario3/resources/masks\1255.jpg,"[0.459375,0.351852,0.21875,0.12963,0.673095,0.714809]"
6,../../Data_Processing/Scenario3/resources/masks\1189.jpg,"[0.170313,0.244444,0.123958,0.074074,0.229034,0.190476]"
30,../../Data_Processing/Scenario3/resources/masks\1001.jpg,"[0.919792,0.341667,0.160417,0.12037,0.895687,0.655678]"
24,../../Data_Processing/Scenario3/resources/masks\1011.jpg,"[0.727083,0.256481,0.114583,0.07963,0.659946,0.182104]"
26,../../Data_Processing/Scenario3/resources/masks\718.jpg,"[0.85625,0.24537,0.11875,0.072222,0.653156,0.017268]"
6,../../Data_Processing/Scenario3/resources/masks\1250.jpg,"[0.167708,0.355556,0.25,0.133333,0.576266,0.746729]"
11,../../Data_Processing/Scenario3/resources/masks\270.jpg,"[0.404167,0.247222,0.141667,0.083333,0.352672,0.230246]"
29,../../Data_Processing/Scenario3/resources/masks\1054.jpg,"[0.927604,0.372222,0.144792,0.148148,0.883888,0.790686]"
30,../../Data_Processing/Scenario3/resources/masks\206.jpg,"[0.942708,0.313889,0.114583,0.101852,0.929163,0.615908]"
1,../../Data_Processing/Scenario3/resources/masks\113.jpg,"[0.039062,0.239815,0.073958,0.07963,0.114947,0.265306]"
25,../../Data_Processing/Scenario3/resources/masks\134.jpg,"[0.828646,0.359259,0.215625,0.133333,0.824237,0.762951]"
4,../../Data_Processing/Scenario3/resources/masks\581.jpg,"[0.158333,0.244444,0.129167,0.077778,0.197399,0.214547]"
30,../../Data_Processing/Scenario3/resources/masks\1213.jpg,"[0.939063,0.260185,0.119792,0.083333,0.790188,0.177394]"
2,../../Data_Processing/Scenario3/resources/masks\5.jpg,"[0.128125,0.428704,0.25,0.187037,0.544283,0.994767]"
12,../../Data_Processing/Scenario3/resources/masks\191.jpg,"[0.430208,0.306481,0.16875,0.109259,0.648330,0.626897]"
29,../../Data_Processing/Scenario3/resources/masks\298.jpg,"[0.939583,0.260185,0.116667,0.075926,0.759126,0.228676]"
7,../../Data_Processing/Scenario3/resources/masks\1252.jpg,"[0.278125,0.352778,0.235417,0.135185,0.614670,0.734694]"
29,../../Data_Processing/Scenario3/resources/masks\901.jpg,"[0.913542,0.364815,0.172917,0.133333,0.897180,0.756149]"
17,../../Data_Processing/Scenario3/resources/masks\678.jpg,"[0.569792,0.25,0.116667,0.077778,0.487413,0.195709]"
4,../../Data_Processing/Scenario3/resources/masks\106.jpg,"[0.165104,0.243519,0.134375,0.075926,0.232736,0.252224]"
6,../../Data_Processing/Scenario3/resources/masks\1294.jpg,"[0.235937,0.24537,0.134375,0.07963,0.236294,0.223443]"
11,../../Data_Processing/Scenario3/resources/masks\286.jpg,"[0.342708,0.384259,0.25,0.157407,0.679536,0.832548]"
11,../../Data_Processing/Scenario3/resources/masks\628.jpg,"[0.405729,0.247222,0.130208,0.07963,0.397599,0.210361]"
6,../../Data_Processing/Scenario3/resources/masks\690.jpg,"[0.205208,0.243519,0.1375,0.07963,0.237337,0.206175]"
23,../../Data_Processing/Scenario3/resources/masks\386.jpg,"[0.678125,0.375,0.23125,0.146296,0.812744,0.787023]"
19,../../Data_Processing/Scenario3/resources/masks\308.jpg,"[0.582292,0.255556,0.129167,0.077778,0.524979,0.241758]"
20,../../Data_Processing/Scenario3/resources/masks\129.jpg,"[0.632812,0.356481,0.203125,0.135185,0.725220,0.785453]"
8,../../Data_Processing/Scenario3/resources/masks\55.jpg,"[0.283333,0.352778,0.222917,0.138889,0.617840,0.811094]"
28,../../Data_Processing/Scenario3/resources/masks\258.jpg,"[0.892188,0.255556,0.138542,0.085185,0.681213,0.231816]"
15,../../Data_Processing/Scenario3/resources/masks\681.jpg,"[0.483333,0.248148,0.120833,0.077778,0.426903,0.198849]"
12,../../Data_Processing/Scenario3/resources/masks\1231.jpg,"[0.420312,0.251852,0.117708,0.07037,0.413223,0.203558]"
26,../../Data_Processing/Scenario3/resources/masks\558.jpg,"[0.831771,0.260185,0.132292,0.07963,0.717409,0.203558]"
24,../../Data_Processing/Scenario3/resources/masks\148.jpg,"[0.746875,0.261111,0.125,0.077778,0.633157,0.247514]"
25,../../Data_Processing/Scenario3/resources/masks\147.jpg,"[0.771354,0.260185,0.126042,0.075926,0.649455,0.247514]"
28,../../Data_Processing/Scenario3/resources/masks\1107.jpg,"[0.857292,0.375,0.229167,0.135185,0.846895,0.763998]"
6,../../Data_Processing/Scenario3/resources/masks\1033.jpg,"[0.188542,0.243519,0.13125,0.075926,0.208176,0.196232]"
24,../../Data_Processing/Scenario3/resources/masks\502.jpg,"[0.741667,0.256481,0.122917,0.075926,0.649578,0.190999]"
29,../../Data_Processing/Scenario3/resources/masks\1112.jpg,"[0.917708,0.259259,0.133333,0.077778,0.776487,0.180010]"
19,../../Data_Processing/Scenario3/resources/masks\937.jpg,"[0.589583,0.25463,0.1125,0.075926,0.513425,0.203035]"
13,../../Data_Processing/Scenario3/resources/masks\744.jpg,"[0.397396,0.360185,0.219792,0.142593,0.724607,0.799581]"
24,../../Data_Processing/Scenario3/resources/masks\30.jpg,"[0.747396,0.261111,0.121875,0.077778,0.558557,0.245421]"
17,../../Data_Processing/Scenario3/resources/masks\226.jpg,"[0.556771,0.350926,0.203125,0.127778,0.670109,0.724751]"
6,../../Data_Processing/Scenario3/resources/masks\874.jpg,"[0.223438,0.244444,0.132292,0.077778,0.225292,0.201465]"
15,../../Data_Processing/Scenario3/resources/masks\1098.jpg,"[0.517708,0.363889,0.2125,0.146296,0.682092,0.790686]"
26,../../Data_Processing/Scenario3/resources/masks\719.jpg,"[0.815104,0.244444,0.121875,0.07037,0.623198,0.016745]"
26,../../Data_Processing/Scenario3/resources/masks\1273.jpg,"[0.813021,0.253704,0.123958,0.077778,0.696918,0.163789]"
12,../../Data_Processing/Scenario3/resources/masks\222.jpg,"[0.430729,0.350926,0.205208,0.131481,0.620069,0.737834]"
11,../../Data_Processing/Scenario3/resources/masks\701.jpg,"[0.358333,0.35463,0.216667,0.142593,0.647431,0.793302]"
2,../../Data_Processing/Scenario3/resources/masks\784.jpg,"[0.098437,0.243519,0.138542,0.07963,0.172614,0.237572]"
4,../../Data_Processing/Scenario3/resources/masks\107.jpg,"[0.138542,0.243519,0.139583,0.075926,0.216478,0.253794]"
11,../../Data_Processing/Scenario3/resources/masks\190.jpg,"[0.405729,0.30463,0.169792,0.109259,0.630826,0.626897]"
24,../../Data_Processing/Scenario3/resources/masks\79.jpg,"[0.74375,0.258333,0.122917,0.07963,0.649782,0.227106]"
30,../../Data_Processing/Scenario3/resources/masks\297.jpg,"[0.940625,0.37963,0.091667,0.148148,0.907916,0.793825]"
17,../../Data_Processing/Scenario3/resources/masks\510.jpg,"[0.560417,0.25,0.122917,0.077778,0.526615,0.187860]"
15,../../Data_Processing/Scenario3/resources/masks\36.jpg,"[0.517708,0.252778,0.125,0.075926,0.394205,0.250654]"
6,../../Data_Processing/Scenario3/resources/masks\1091.jpg,"[0.235937,0.359259,0.221875,0.144444,0.573915,0.790162]"
10,../../Data_Processing/Scenario3/resources/masks\1136.jpg,"[0.366667,0.248148,0.1125,0.074074,0.353980,0.202512]"
6,../../Data_Processing/Scenario3/resources/masks\8.jpg,"[0.215104,0.433333,0.292708,0.185185,0.586205,0.995814]"
10,../../Data_Processing/Scenario3/resources/masks\1094.jpg,"[0.354687,0.361111,0.221875,0.144444,0.620130,0.791732]"
28,../../Data_Processing/Scenario3/resources/masks\755.jpg,"[0.875,0.261111,0.135417,0.077778,0.718124,0.230246]"
13,../../Data_Processing/Scenario3/resources/masks\1072.jpg,"[0.453125,0.248148,0.1125,0.074074,0.407701,0.216641]"
9,../../Data_Processing/Scenario3/resources/masks\332.jpg,"[0.294271,0.353704,0.226042,0.140741,0.640457,0.791732]"
6,../../Data_Processing/Scenario3/resources/masks\1251.jpg,"[0.220833,0.351852,0.245833,0.137037,0.595427,0.740973]"
13,../../Data_Processing/Scenario3/resources/masks\943.jpg,"[0.422917,0.25,0.11875,0.074074,0.401117,0.201988]"
22,../../Data_Processing/Scenario3/resources/masks\439.jpg,"[0.666667,0.436111,0.28125,0.183333,0.751866,0.908948]"
17,../../Data_Processing/Scenario3/resources/masks\486.jpg,"[0.542188,0.356481,0.215625,0.138889,0.769105,0.743066]"
1,../../Data_Processing/Scenario3/resources/masks\372.jpg,"[0.042188,0.237037,0.084375,0.077778,0.060326,0.226583]"
3,../../Data_Processing/Scenario3/resources/masks\878.jpg,"[0.107292,0.240741,0.129167,0.074074,0.137543,0.203558]"
23,../../Data_Processing/Scenario3/resources/masks\340.jpg,"[0.703125,0.362963,0.216667,0.140741,0.806057,0.787546]"
13,../../Data_Processing/Scenario3/resources/masks\94.jpg,"[0.434896,0.249074,0.119792,0.075926,0.428907,0.237049]"
1,../../Data_Processing/Scenario3/resources/masks\787.jpg,"[0.045833,0.239815,0.0875,0.075926,0.112718,0.237572]"
30,../../Data_Processing/Scenario3/resources/masks\752.jpg,"[0.947917,0.262963,0.102083,0.077778,0.783072,0.224490]"
3,../../Data_Processing/Scenario3/resources/masks\691.jpg,"[0.107813,0.241667,0.142708,0.075926,0.170651,0.207745]"
30,../../Data_Processing/Scenario3/resources/masks\344.jpg,"[0.911458,0.366667,0.177083,0.137037,0.889839,0.772370]"
3,../../Data_Processing/Scenario3/resources/masks\786.jpg,"[0.063021,0.242593,0.117708,0.081481,0.132881,0.237572]"
28,../../Data_Processing/Scenario3/resources/masks\1000.jpg,"[0.898438,0.346296,0.203125,0.118519,0.874317,0.663004]"
21,../../Data_Processing/Scenario3/resources/masks\707.jpg,"[0.667188,0.366667,0.215625,0.144444,0.769943,0.794872]"
26,../../Data_Processing/Scenario3/resources/masks\135.jpg,"[0.876563,0.361111,0.205208,0.12963,0.844441,0.756149]"
21,../../Data_Processing/Scenario3/resources/masks\83.jpg,"[0.660937,0.255556,0.119792,0.077778,0.585673,0.229723]"
13,../../Data_Processing/Scenario3/resources/masks\866.jpg,"[0.447917,0.248148,0.122917,0.077778,0.391853,0.201465]"
17,../../Data_Processing/Scenario3/resources/masks\156.jpg,"[0.552083,0.252778,0.120833,0.075926,0.491912,0.244375]"
9,../../Data_Processing/Scenario3/resources/masks\1292.jpg,"[0.3,0.246296,0.125,0.077778,0.282612,0.219780]"
